,Unnamed: 0,id,link,type,title,text,area_text,area_name,num_areas,city,clean_text,predicted_category
0,0,160,https://districtr.org/COI/12742,coi,University City 3rd Ward,"Housing Values, bringing resources to traditionally underserved community and reducing segregation","This is the neighborhoods generally north of Olive Blvd in University City - the dividing line of Olive Boulevard has traditionally segregated between the black neighborhoods and the white neighborhoods, and between the lower socioeconomic classes and the more affluent. In particular, housing values drop sharply when you go north of Olive even for homes very similar to those south of Olive. The 3rd Ward Community shares an interest in bringing resources to invest in this part of U City to increase housing values, preserve generational wealth, and increase opportunities for working families to live in mixed-race and socioeconomically diverse neighborhood.",University City 3rd Ward,1.0,St. Louis,"Housing Values , bringing resources to traditionally underserved community and reducing segregation",Vulnerable populations
1,1,152,https://districtr.org/COI/12745,coi,Webster Groves Area,"School District (most), shopping districts, Webster University.This community is currently split between Congressional Districts; the residents to the north (currently in CD-1) interact on a daily basis -school, shopping, community development - with other residents in CD-2",,Community 1,1.0,Webster Groves,"( most ) , shopping districts , Webster University . This community is currently split between Congressional Districts ; the residents to the north ( currently in CD-1 ) interact on a daily basis -school , shopping , community development - with other residents in CD-2",University
2,2,156,https://districtr.org/COI/13234,coi,Romanelli West,"Single-family homes, multigenerational","Romanelli West is outlined by these streets:
N: 64th Terrace
S: Gregory/71st
E: Ward Parkway
W: State Line Road
One-family homes. 
Multigenerational, a mix of single owners, families and older owners.
",Romanelli West ,1.0,Kansas City,"Single - family homes , multigenerational",Family and Children
3,3,148,https://districtr.org/COI/13234,coi,Romanelli West,"Single-family homes, multigenerational","Romanelli West is outlined by these streets:
N: 64th Terrace
S: Gregory/71st
E: Ward Parkway
W: State Line Road
One-family homes. 
Multigenerational, a mix of single owners, families and older owners.
",Romanelli West ,1.0,Kansas City,"Single - family homes , multigenerational",Family and Children
4,4,143,https://districtr.org/COI/16818,coi,Westside Neighborhood,"Gentrification, family issues, autonomy from Downtown KC. Our neighborhood is truly a residential area, but tends to be over-taken by the Crossroads and Downtown areas, which causes many issues amongst residents and city officials.","This community sits just West of Downtown Kansas City, and has many diverse residents, including Hispanic, Black and White citizens.",Westside Neighborhood- KCMO,1.0,Kansas City,"Gentrification , family issues , autonomy from Downtown . Our neighborhood is truly a residential area , but tends to be over - taken by the Crossroads and Downtown areas , which causes many issues amongst residents and city officials .",Named neighborhood
5,6,150,https://districtr.org/COI/17227,coi,west & south count,Same School District,,AAPI west & south county,1.0,St. Louis,Same School District,K-12 Education
6,7,145,https://districtr.org/COI/17993,coi,Mark Twain Neighborhood,"parks, walkability, green space, nature, pedestrian safety, sidewalks, streetlights, noise, car theft. The Greenways trail system that runs through this neighborhood along South Creek is amazing. It is bicycle and walk-friendly and stretches from East to West Springfield. It's important to keep this trail maintained and safe, as many people and families use this trail for recreational activities.","Beautiful Greenways trails, Nathaniel Greene Park/Close Memorial Garden, walk and bicycle-friendly along Greenways trails in the neighborhood, Has a registered neighborhood association that is active",Mark Twain Neighborhood,1.0,Springfield,"parks , walkability , green space , nature , pedestrian safety , sidewalks , streetlights , noise , car theft . The Greenways trail system that runs through this neighborhood along is amazing . It is bicycle and walk - friendly and stretches from to West Springfield . It 's important to keep this trail maintained and safe , as many people and families use this trail for recreational activities .",Community engagement
7,8,157,https://districtr.org/COI/17998,coi,Rental area in Springfield,"Residents who live here live in small, older homes, or in an affordable housing unit with multiple apartments.  Many of the residents are physically or mental handicapped.",This area contains small rental older homes and an affordable housing unit with approximately 35 apartments.  Many of the residents are physically handicapped .,Group of renters,1.0,Springfield,"Residents who live here live in small , older homes , or in an affordable housing unit with multiple apartments .   Many of the residents are physically or mental handicapped .",Vulnerable populations
8,9,159,https://districtr.org/COI/18001,coi,Spanish Lake,Distinct unincorporated community to preserve whole.,A much-maligned corner of St Louis County,Spanish Lake,1.0,Florissant,Distinct unincorporated community to preserve whole .,Diversity
9,10,144,https://districtr.org/COI/18115,coi,Downtown Loft District,"high density, many renters, business district",Downtown neighborhood where most residential property is high rise buildings,Downtown Loft District,1.0,St Louis,"high density , many renters , business district",Named neighborhood
