step,tcp_score,cut_edges,dem_wins
0,0.5543129144885696,543,3
1,0.5541480707422106,567,3
2,0.559751780744912,556,3
3,0.5642614765129702,545,3
4,0.5654959361505034,540,3
5,0.5680741460444856,530,3
6,0.5666837320460244,536,3
7,0.5579963649396541,588,3
8,0.5597930424937564,566,3
9,0.5577243129083478,562,3
10,0.552015905686537,573,3
11,0.558887951124874,495,3
12,0.5550837938781713,500,3
13,0.5577967516973767,539,3
14,0.5578901066032699,541,3
15,0.5614581409385484,513,3
16,0.5638335372063501,535,3
17,0.5635976096492701,533,3
18,0.5539292315565754,536,3
19,0.5526097279914358,571,3
20,0.5602749316924227,567,3
21,0.561653378761979,580,3
22,0.5598457433357763,603,3
23,0.5603415398870908,560,3
24,0.5577998408939103,555,3
25,0.5391395020724915,578,3
26,0.5657704909233494,554,3
27,0.5624552696735633,572,3
28,0.5737072000784449,520,3
29,0.5690241636631096,526,3
30,0.5727461787724624,524,3
31,0.570664465596584,569,3
32,0.57395697570003,535,3
33,0.5679257947091985,566,3
34,0.5734934428103987,559,3
35,0.5594295394942359,620,3
36,0.5584479207127472,631,3
37,0.5588048619019879,629,3
38,0.5443818007033858,645,3
39,0.5486919720315098,594,2
40,0.5541959522389106,696,2
41,0.5535923534821178,685,2
42,0.5520821583594769,702,2
43,0.5545216266373075,712,2
44,0.5390812100165273,666,3
45,0.5572714679089292,591,3
46,0.5443842845115874,645,3
47,0.5478693075986403,641,3
48,0.5472768725311814,616,3
49,0.5402232393945455,620,3
50,0.5426222213997872,653,3
51,0.5408143214581134,651,3
52,0.5401151667772787,628,3
53,0.5452835576101088,627,3
54,0.5611245409299151,583,3
55,0.5621337239508105,601,3
56,0.5609245715098137,641,3
57,0.5611600639450776,585,3
58,0.5591035169388887,594,3
59,0.5602591827083149,579,3
60,0.559247917566786,579,3
61,0.5457678929868949,598,3
62,0.5504751000143209,578,2
63,0.54673812601916,594,2
64,0.5325673119241581,606,2
65,0.5199912381062992,618,2
66,0.5192288681838179,618,2
67,0.5188706565099699,589,2
68,0.5322842058863818,597,2
69,0.532524011713126,609,2
70,0.5368509170478053,598,2
71,0.5532385919104332,579,2
72,0.5532317425364123,555,2
73,0.5574719887599939,583,2
74,0.5505625944405786,602,2
75,0.550175060516648,662,2
76,0.5549231536864327,672,3
77,0.5527948363681301,681,3
78,0.5637584291619626,646,3
79,0.5622520166470029,649,3
80,0.5634655438006027,644,3
81,0.5572222788340093,648,3
82,0.5618325029443092,619,3
83,0.5493694980777317,623,3
84,0.5456194326894404,658,3
85,0.5499010801635255,667,3
86,0.5543407287637839,675,3
87,0.5529514217882393,627,3
88,0.5542055705504105,627,3
89,0.5541930882167915,637,3
90,0.5541682644980597,639,3
91,0.5525683167445836,607,3
92,0.5547142891182492,597,3
93,0.5466905812129597,625,3
94,0.5367849026582273,659,3
95,0.5470697278807841,629,3
96,0.5554070858528449,646,3
97,0.5583772311172288,629,3
98,0.5572817915599151,674,3
99,0.5530540859755336,619,3
100,0.5521589658353677,604,3
101,0.5590492519953132,556,3
102,0.5585191517478663,544,3
103,0.5517791939583513,575,3
104,0.5488293410881644,567,3
105,0.5505710007633271,573,3
106,0.5579080083156298,618,3
107,0.5615964839098088,626,3
108,0.5575636792635926,611,3
109,0.5644151008003256,599,3
110,0.5658106174036112,637,3
111,0.5675013614425727,571,3
112,0.5638440549786105,603,3
113,0.5691267812296585,544,3
114,0.5646138872918233,549,3
115,0.5638540216398207,554,3
116,0.5666809826466745,532,3
117,0.5705035247715456,487,3
118,0.5695900702196662,476,3
119,0.5702409987194683,474,3
120,0.5632742623763414,503,3
121,0.5691172940581315,483,3
122,0.5685070800148888,488,3
123,0.5651560322376395,553,3
124,0.5683578577366504,496,3
125,0.568496748697203,487,3
126,0.552811395899249,507,3
127,0.5549049700066925,498,3
128,0.5710451932377145,463,3
129,0.5633489618457627,463,2
130,0.5754977989991882,495,3
131,0.558337615548506,530,3
132,0.5563386025772382,537,3
133,0.556002936716391,538,3
134,0.5482486890741773,530,3
135,0.5665710230557701,502,3
136,0.5675714620354653,494,3
137,0.5735476612248294,466,3
138,0.5691110885193267,480,3
139,0.5738345854623993,495,3
140,0.5741410298589448,503,3
141,0.5753089393689339,517,3
142,0.5589332947232185,583,2
143,0.5766869522779127,527,3
144,0.5826524976168268,512,3
145,0.5828793379671164,510,3
146,0.5815345521846201,514,3
147,0.5802392883160872,521,3
148,0.576723542390612,515,3
149,0.5776382284349442,532,3
150,0.5817518650854814,517,3
151,0.5862697576394832,560,3
152,0.5864081541238367,551,3
153,0.5802112722372239,586,3
154,0.5598189821634518,623,3
155,0.5459817458396038,639,3
156,0.5465388991647764,642,3
157,0.557855844058907,679,3
158,0.562003144934763,665,3
159,0.574057248877514,629,3
160,0.5571434661996917,599,2
161,0.5572941297150535,598,2
162,0.5660343061607609,592,3
163,0.5448347474069689,615,3
164,0.5473713796385342,642,3
165,0.5450387832742175,645,3
166,0.5506443016690363,618,3
167,0.5523018465790239,649,3
168,0.5498454627204435,642,3
169,0.5437022450227976,656,3
170,0.5514112874705982,664,3
171,0.5506170091608035,658,3
172,0.5499922468466595,664,3
173,0.5481121824656581,639,3
174,0.5450792607397015,612,3
175,0.5426016699835396,640,2
176,0.5388306646501977,635,3
177,0.537763417356491,623,3
178,0.5501581029577736,576,3
179,0.5453372616175683,575,3
180,0.5424625328119327,570,3
181,0.5456394769146043,584,3
182,0.5452010830992736,589,3
183,0.5536601387855102,584,3
184,0.5209032863373736,693,3
185,0.529981840466507,730,3
186,0.5292102168549193,680,3
187,0.527551668659376,679,3
188,0.5266341236709016,665,3
189,0.5419438415589637,650,3
190,0.5358947891206266,645,3
191,0.5445733657740273,657,3
192,0.5466327843308131,662,3
193,0.5601130434089351,636,3
194,0.5610582050626872,622,3
195,0.5628744401847574,636,3
196,0.5837741242902688,592,3
197,0.5753159790433872,575,3
198,0.5798014840944544,574,2
199,0.5816869345087635,569,2
200,0.5946752968926523,562,2
201,0.5902708958887668,578,2
202,0.5895701910050118,573,2
203,0.5911646821853187,571,2
204,0.5904439178715203,582,2
205,0.5920733325380796,551,2
206,0.5890530893856857,575,2
207,0.5918135689518756,559,2
208,0.5839633361527445,591,2
209,0.5797021450908331,624,2
210,0.5718411432825709,633,2
211,0.5670791650037358,599,2
212,0.567347417136682,643,2
213,0.5703675598047515,628,2
214,0.5674032857632992,623,2
215,0.564121171240239,607,1
216,0.5590924202487021,650,1
217,0.5686564936483596,624,1
218,0.5645726628119652,627,1
219,0.5413070888878824,636,1
220,0.5490751099884578,636,1
221,0.5483177632951952,637,1
222,0.546205596320741,634,2
223,0.5440380705860999,592,1
224,0.5481824708185213,581,1
225,0.5644342956185763,576,1
226,0.5630291617971099,600,1
227,0.5729794042029411,624,1
228,0.5713799101569716,607,1
229,0.5653713382563743,611,1
230,0.5543645042801192,608,1
231,0.5526851959702513,622,1
232,0.5594892714497474,629,1
233,0.553634895471247,616,1
234,0.5546535410334177,574,1
235,0.5613340026916113,564,1
236,0.5650957653163751,569,1
237,0.5643531564686799,508,1
238,0.5638856810222904,500,1
239,0.5457103101902934,575,2
240,0.5462266988194228,569,2
241,0.5449219072533107,579,2
242,0.5457225701476395,576,2
243,0.5476879178063,573,2
244,0.5623246526803798,524,1
245,0.5782650432913641,522,1
246,0.5681548151969856,558,2
247,0.5692335919813559,537,2
248,0.5784463584550219,538,2
249,0.5774924811675783,551,2
250,0.5714412355186728,567,2
251,0.5575948995415424,573,2
252,0.5569749718371172,560,2
253,0.5788982058367873,538,2
254,0.5795402757347261,550,2
255,0.5760795805219994,537,2
256,0.5763542625731776,540,2
257,0.5747298087029216,573,2
258,0.5783730278521833,627,2
259,0.5817096175266079,652,2
260,0.5864879805718122,646,2
261,0.5941448006569175,647,2
262,0.5895702111992887,639,2
263,0.5751154996052603,642,2
264,0.5784458268210098,646,2
265,0.5811616695390405,598,2
266,0.5759450933683045,650,2
267,0.5736846010528643,649,2
268,0.5729514616404585,644,2
269,0.5940296866747552,625,2
270,0.6089157071466739,599,2
271,0.6064423173614576,602,2
272,0.6061548563977468,579,2
273,0.596614771410333,570,2
274,0.59611504162104,560,2
275,0.6003887929531816,511,2
276,0.6005837569704602,548,2
277,0.6021467666434532,543,2
278,0.5987791289388931,560,2
279,0.5880207280553067,562,1
280,0.5887390526092766,568,1
281,0.5846728641951742,578,1
282,0.5800416831730902,577,1
283,0.573557201812454,620,1
284,0.5916757579769466,549,1
285,0.5926933916547288,537,1
286,0.5904959259358666,520,1
287,0.5812466824058626,555,1
288,0.576589253557318,558,1
289,0.5752908787307618,550,1
290,0.5838918856151947,535,1
291,0.5734089408016623,556,1
292,0.569918400897168,562,1
293,0.5706655985090519,552,1
294,0.566321951470659,559,1
295,0.566385305929391,563,1
296,0.5650417564195801,613,2
297,0.5599537223288007,623,2
298,0.5707917552969366,582,2
299,0.5697785542134108,600,2
300,0.5828186873717073,547,2
301,0.5644898117645794,519,2
302,0.5590984531557667,533,2
303,0.563531395063085,472,2
304,0.5631889457572044,517,2
305,0.5620543286493458,496,2
306,0.5722853649595364,491,2
307,0.5730604216278194,496,2
308,0.5743741577484781,535,2
309,0.5752888026018154,567,3
310,0.5749309529476474,514,3
311,0.5777318769237552,462,2
312,0.5836115342696051,451,2
313,0.5833645619557618,453,3
314,0.5832188938592043,478,3
315,0.5845494487553757,490,3
316,0.5852791107618314,486,3
317,0.5868432279660172,483,3
318,0.585949011812238,480,2
319,0.5873394348907522,463,2
320,0.5816386873084006,470,2
321,0.579341054376951,458,2
322,0.5732580167947606,486,2
323,0.5634069235267711,505,2
324,0.5605026798645104,502,2
325,0.5609710417438813,506,2
326,0.5430915397925168,504,2
327,0.5432651826821151,504,2
328,0.5603618390368029,481,2
329,0.5598631646157997,485,2
330,0.571007151704857,604,2
331,0.5717174213268104,603,2
332,0.5627309158639253,486,2
333,0.5661152333334598,491,2
334,0.5803724693376939,465,2
335,0.580343792247348,466,2
336,0.5719658426521066,483,2
337,0.559523446656612,530,2
338,0.5601258966781686,545,2
339,0.5618919606508027,563,2
340,0.5602638126947593,577,2
341,0.5626961830489225,571,2
342,0.5636426570880495,553,2
343,0.5667363552199516,546,2
344,0.5719192496048402,510,2
345,0.5746212912513887,486,2
346,0.577398262147228,488,2
347,0.5763953265357201,505,1
348,0.5766789190459084,506,1
349,0.574555142908313,499,1
350,0.5702659126440545,533,1
351,0.5700790573177759,532,1
352,0.5844855236745845,532,1
353,0.5844131568644529,539,1
354,0.5810702724663868,561,1
355,0.5782169235908712,566,1
356,0.5845022573141659,533,1
357,0.553891358046422,575,1
358,0.5525189031063862,543,1
359,0.5519498325418303,556,1
360,0.5832437740080247,524,1
361,0.5847051037983941,518,1
362,0.5817899841639579,512,1
363,0.5618914917275599,548,1
364,0.5614237189420654,558,1
365,0.5571197931485288,610,1
366,0.574617590421807,518,2
367,0.5721642756400822,520,2
368,0.5751925681954485,509,2
369,0.5748130935034815,516,2
370,0.5748273405816012,522,3
371,0.5723405163420994,516,3
372,0.6062287151582878,573,3
373,0.6071596757883162,570,3
374,0.5759861170879967,515,3
375,0.5676797273833999,535,2
376,0.567277820117121,532,2
377,0.5657462346383016,507,2
378,0.5740892453649686,504,2
379,0.5760533953594138,491,2
380,0.5767708337212831,492,2
381,0.5758324700977905,484,2
382,0.5731684399910925,472,2
383,0.5761671184693244,460,3
384,0.5693198496322698,456,3
385,0.5681333700160442,543,3
386,0.5665872479618854,534,3
387,0.5744562056354197,531,3
388,0.5609361328015442,542,3
389,0.5616997701661811,519,3
390,0.5761046532824652,487,3
391,0.5752278462724331,437,3
392,0.5754285192616261,440,3
393,0.5745632706181487,440,3
394,0.5676714521885924,461,3
395,0.5701364557039819,439,2
396,0.5694943434717172,461,2
397,0.5688589530143521,473,2
398,0.5604624770846525,482,2
399,0.5659752476998963,467,2
400,0.5730797090153079,478,3
401,0.5709592317178986,451,3
402,0.5684386365108252,505,3
403,0.5743719193284077,457,3
404,0.5700501077578516,461,3
405,0.568298565899077,460,3
406,0.564341486755674,498,3
407,0.5600693891362185,517,3
408,0.5639865839283127,512,3
409,0.5711585093633,558,3
410,0.5658736655818749,522,3
411,0.5662470463957832,529,3
412,0.556574777306864,515,3
413,0.560725978531688,490,3
414,0.5586855539652299,469,3
415,0.5578071140759834,447,3
416,0.5833017496065368,416,3
417,0.5846338957717369,438,3
418,0.5782382022154275,465,3
419,0.5739443704048337,500,3
420,0.569382331834839,556,3
421,0.5682774147869835,527,3
422,0.5716156960311277,492,3
423,0.5713227627314023,530,3
424,0.5786790027064259,526,3
425,0.5699973676403262,492,2
426,0.5681776976174969,485,2
427,0.5788888354277613,552,3
428,0.5876727597368361,554,3
429,0.5863226026672367,527,3
430,0.5735905796800636,522,3
431,0.572015051263423,528,3
432,0.5696799329565548,531,3
433,0.5383014307488146,589,3
434,0.5340318026709343,607,3
435,0.517848004309157,663,2
436,0.5185167457707506,654,2
437,0.5473707546618114,595,2
438,0.5483217562557442,597,2
439,0.5544518277606962,574,3
440,0.5576524441053585,555,2
441,0.554974657180202,570,2
442,0.5549801336143897,544,2
443,0.5588064598747986,553,2
444,0.5594667144053158,559,2
445,0.5583839840622066,527,2
446,0.5589653482425643,510,2
447,0.5586886259251903,516,2
448,0.5512439379414967,513,2
449,0.5487233294146829,532,2
450,0.5494602891106871,520,2
451,0.557180410052722,533,3
452,0.5639836084573855,545,3
453,0.5637756845388587,597,3
454,0.5580193822594028,610,3
455,0.5576993476308774,617,3
456,0.5509989561000265,638,3
457,0.5583307936084538,629,3
458,0.530534167559904,694,3
459,0.5435665390205704,686,3
460,0.5496466519783466,681,3
461,0.5698837281518632,634,3
462,0.5643715595998141,626,3
463,0.5545214597199811,627,3
464,0.5422496511454885,639,3
465,0.5504522988952286,625,3
466,0.5518359286896732,614,3
467,0.5490406999109332,596,3
468,0.5645635966864446,598,3
469,0.5619261619634937,582,3
470,0.5691134482618634,581,3
471,0.5697609504715508,597,3
472,0.5561026142080429,619,3
473,0.5589406759183679,585,3
474,0.5678847977358636,606,3
475,0.5673964317448427,608,3
476,0.5647618805652562,606,3
477,0.5736837482192286,586,3
478,0.5703866870501672,537,3
479,0.5684609845500526,540,3
480,0.5563755411053312,573,3
481,0.5609721462908894,587,3
482,0.5565329064486204,563,3
483,0.5468789096473196,583,3
484,0.5577936979029049,579,2
485,0.5606266891913032,568,2
486,0.5551420172611023,544,3
487,0.5554040882165474,562,3
488,0.5647415117770926,550,3
489,0.5700688280455805,607,3
490,0.5567992633135737,616,3
491,0.5430730061938507,649,3
492,0.535213078266584,670,3
493,0.5466101505471449,643,3
494,0.5565999264155752,619,3
495,0.5584030702987145,610,3
496,0.5720039848632347,600,3
497,0.5709447097828393,587,3
498,0.5686415897044974,640,3
499,0.5676707436108126,665,3
500,0.5475556450155488,675,3
501,0.5421169351387913,683,3
502,0.5391748523193903,688,3
503,0.5583799721500579,658,3
504,0.5572106017859488,649,3
505,0.5509155123894833,672,3
506,0.5582723992992903,623,3
507,0.5538228796104895,570,3
508,0.54778361154517,563,3
